CostPreOpt	CostPostOpt	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
38.483124	35.95681	14.318443536758423	44	115.33333333333333	39.330508373130506	200.0	65.0	115.33333333333333	39.330508373130506	1038	48597
46.54018	44.961243	14.638563632965088	45	146.875	43.368875648326416	200.0	91.0	146.875	43.368875648326416	1175	49772
38.412758	35.253254	14.937320470809937	46	118.11111111111111	49.36585514625456	200.0	67.0	118.11111111111111	49.36585514625456	1063	50835
36.565945	34.207195	15.267268419265747	47	125.25	41.34534435701316	200.0	84.0	125.25	41.34534435701316	1002	51837
32.249634	29.622652	15.601875305175781	48	117.44444444444444	39.89182904670276	186.0	65.0	117.44444444444444	39.89182904670276	1057	52894
49.39638	46.504566	15.934216499328613	49	148.375	49.21112044040452	200.0	71.0	148.375	49.21112044040452	1187	54081
45.377922	43.334724	16.25394368171692	50	142.625	51.105130613276	200.0	69.0	142.625	51.105130613276	1141	55222
45.267387	43.475006	16.53279709815979	51	143.85714285714286	41.923156136056406	200.0	76.0	143.85714285714286	41.923156136056406	1007	56229
42.446156	41.116547	16.909496307373047	52	122.88888888888889	51.868304268158994	200.0	59.0	122.88888888888889	51.868304268158994	1106	57335
44.693275	41.937584	17.207420110702515	53	127.375	54.410333347628004	200.0	63.0	127.375	54.410333347628004	1019	58354
37.9628	35.877823	17.537593841552734	54	138.0	38.890872965260115	200.0	59.0	138.0	38.890872965260115	1104	59458
45.50762	41.5727	17.85360598564148	55	137.375	56.41129651940292	200.0	56.0	137.375	56.41129651940292	1099	60557
41.119694	38.91819	18.15177273750305	56	136.625	42.57328240810192	200.0	65.0	136.625	42.57328240810192	1093	61650
36.72852	34.18473	18.47031545639038	57	125.11111111111111	47.26155224902853	200.0	73.0	125.11111111111111	47.26155224902853	1126	62776
32.854473	30.727179	18.78318476676941	58	122.44444444444444	45.57560534396812	200.0	57.0	122.44444444444444	45.57560534396812	1102	63878
40.616333	38.038784	19.12819480895996	59	155.42857142857142	30.816772533601814	200.0	98.0	155.42857142857142	30.816772533601814	1088	64966
34.272076	32.314156	19.443155527114868	60	125.5	35.78058132562969	198.0	76.0	125.5	35.78058132562969	1004	65970
32.97273	31.290546	19.74402904510498	61	105.0	51.316663960160156	200.0	56.0	105.0	51.316663960160156	1050	67020
38.334614	35.62903	20.097952365875244	62	137.0	50.74692108887001	200.0	74.0	137.0	50.74692108887001	1096	68116
32.28396	28.831594	20.43369722366333	63	131.875	46.158524402324645	200.0	66.0	131.875	46.158524402324645	1055	69171
34.701855	31.109505	20.745253324508667	64	155.28571428571428	40.714035086947895	200.0	86.0	155.28571428571428	40.714035086947895	1087	70258
33.835476	31.147163	21.038352489471436	65	145.57142857142858	38.42936802148342	200.0	67.0	145.57142857142858	38.42936802148342	1019	71277
41.93938	39.370136	21.358530521392822	66	165.28571428571428	34.16645926600399	200.0	92.0	165.28571428571428	34.16645926600399	1157	72434
45.56536	42.200523	21.6666362285614	67	158.0	52.83667557402042	200.0	75.0	158.0	52.83667557402042	1106	73540
46.216755	43.27591	21.954723834991455	68	170.66666666666666	36.13708467611754	200.0	109.0	170.66666666666666	36.13708467611754	1024	74564
43.681927	40.008884	22.337458848953247	69	165.57142857142858	38.09333328571191	200.0	101.0	165.57142857142858	38.09333328571191	1159	75723
34.48679	31.470297	22.657164335250854	70	149.28571428571428	36.69065387305946	200.0	82.0	149.28571428571428	36.69065387305946	1045	76768
31.60774	27.89362	22.975525856018066	71	143.0	43.89272637432572	195.0	75.0	143.0	43.89272637432572	1001	77769
32.635063	29.317698	23.281212329864502	72	148.57142857142858	32.893147974516964	200.0	118.0	148.57142857142858	32.893147974516964	1040	78809
32.65367	29.905582	23.59697413444519	73	154.85714285714286	34.34459230225573	200.0	85.0	154.85714285714286	34.34459230225573	1084	79893
38.576874	34.183083	23.915019989013672	74	152.14285714285714	55.217565971679115	200.0	63.0	152.14285714285714	55.217565971679115	1065	80958
29.237688	25.568407	24.24428653717041	75	120.55555555555556	47.319507631305044	200.0	66.0	120.55555555555556	47.319507631305044	1085	82043
31.300802	27.813238	24.56681537628174	76	135.625	40.34828837757557	200.0	78.0	135.625	40.34828837757557	1085	83128
28.343868	26.324287	24.895814418792725	77	159.71428571428572	36.42492978996777	200.0	101.0	159.71428571428572	36.42492978996777	1118	84246
